beta,n_reps,mean_tau_hat,se_tau_hat,mean_abs_bias,se_abs_bias,mean_g0_gap,se_g0_gap,mean_x_gap,se_x_gap,mean_tau_hat_NN,mean_abs_bias_NN,mean_g0_gap_NN,mean_x_gap_NN,mean_distance_to_NN,se_distance_to_NN,n,n_mcmc,mu,seed
0,100,1.0035253232889034,0.02186836474383122,0.1808742713351997,0.012161056470589853,0.018969003962826615,0.0008866952430103157,0.27728288178034416,0.011828262644462802,1.012967513484906,0.2590490607183926,0.00659061924364656,0.06738977084240372,0.17773135571419438,0.013408959461114808,100,1000,0.3,12345
0.25,100,1.0030892102794693,0.022075816070413725,0.1826687472891471,0.01226331304876271,0.018682158116307784,0.0008695446082147356,0.27086525713384346,0.011560836019875335,1.012967513484906,0.2590490607183926,0.00659061924364656,0.06738977084240372,0.1759005411428545,0.013239241697584336,100,1000,0.3,12345
0.5,100,1.0020279081589916,0.022056288664624196,0.18260704387803045,0.012235189783048453,0.01845676664903652,0.0008518684108009869,0.26541251072198874,0.011279147257684568,1.012967513484906,0.2590490607183926,0.00659061924364656,0.06738977084240372,0.17354298598784432,0.013007290514964997,100,1000,0.3,12345
1,100,1.001022962694411,0.02211802463750064,0.18336971650509593,0.012230153122325943,0.017918033798301546,0.0008187034021481306,0.25342085100448697,0.010786407385387631,1.012967513484906,0.2590490607183926,0.00659061924364656,0.06738977084240372,0.16946337167419717,0.012908215033820628,100,1000,0.3,12345
2,100,0.9971671455620037,0.022641706299811493,0.1887086220182017,0.012370182703951023,0.016634729599139232,0.0007545578113205638,0.22722637915879373,0.009758663018247515,1.012967513484906,0.2590490607183926,0.00659061924364656,0.06738977084240372,0.15966892475796224,0.01258417679840729,100,1000,0.3,12345
3,100,0.995036774221348,0.023019780070309102,0.19087842231507968,0.012733150355138816,0.015264577125621317,0.0006880666337259206,0.2015306727231109,0.008683503599959185,1.012967513484906,0.2590490607183926,0.00659061924364656,0.06738977084240372,0.1508553735550537,0.011905047826595898,100,1000,0.3,12345
4,100,0.9924524989732331,0.0236761448965093,0.19494096693961185,0.01331453525601691,0.013921158927718058,0.0006297248618926095,0.1776107844013671,0.0077252420183096015,1.012967513484906,0.2590490607183926,0.00659061924364656,0.06738977084240372,0.141337054919191,0.011143905207905237,100,1000,0.3,12345
5,100,0.9898523973946759,0.024209859402305908,0.1979275351790378,0.013836446014260479,0.012635247984827984,0.0005819532641300538,0.15621007943732795,0.006960210979116819,1.012967513484906,0.2590490607183926,0.00659061924364656,0.06738977084240372,0.13131622266612097,0.010405572256088621,100,1000,0.3,12345
8,100,0.9904440584578054,0.02591186596989291,0.21053282890247815,0.014987637659692622,0.009806560377135202,0.0004881108641053227,0.1124218116912171,0.005537354481520063,1.012967513484906,0.2590490607183926,0.00659061924364656,0.06738977084240372,0.10598521489350318,0.008613265340198637,100,1000,0.3,12345
10,100,0.9925848154587313,0.026703655967998195,0.21561295331186314,0.015622270521866896,0.008732755262899817,0.0004583296600563083,0.09693973630556407,0.005114133087419366,1.012967513484906,0.2590490607183926,0.00659061924364656,0.06738977084240372,0.09308102519765347,0.0076352468396642375,100,1000,0.3,12345
15,100,0.9975614499531997,0.028185966586681,0.22369178484585742,0.017002184782048627,0.007490770723548607,0.00043078998594432087,0.0795682229043338,0.004792204755155293,1.012967513484906,0.2590490607183926,0.00659061924364656,0.06738977084240372,0.07234987142147953,0.00594570460803044,100,1000,0.3,12345
20,100,1.0013826949059863,0.02874666678082726,0.2269749926375681,0.0174931382830967,0.007058557780432964,0.00042931162894827956,0.07373344319687344,0.004798640562402279,1.012967513484906,0.2590490607183926,0.00659061924364656,0.06738977084240372,0.06154232532806892,0.00499130261530759,100,1000,0.3,12345
30,100,1.0060778088747833,0.029543201704687754,0.2335815852397557,0.017946007329231947,0.006743189955855511,0.0004366641096993157,0.06954752310751544,0.0049319189700294044,1.012967513484906,0.2590490607183926,0.00659061924364656,0.06738977084240372,0.04813574409757091,0.003945131691515499,100,1000,0.3,12345
50,100,1.010182453653831,0.030284688531386706,0.23913527908057983,0.018454715048971032,0.006606115256079519,0.0004505462688743623,0.0677173419819488,0.005149261563611273,1.012967513484906,0.2590490607183926,0.00659061924364656,0.06738977084240372,0.03693210878656479,0.0031581548391531955,100,1000,0.3,12345
75,100,1.0113893990857712,0.030815823851291963,0.2433898217738136,0.01877646227804284,0.006563745429076498,0.00045863243126402985,0.06713146915894778,0.00527952652556659,1.012967513484906,0.2590490607183926,0.00659061924364656,0.06738977084240372,0.030575254845920958,0.002590359949504852,100,1000,0.3,12345
100,100,1.0127377042426227,0.031152461481351135,0.24630865748912548,0.0189553979768555,0.006565451636615117,0.00046167308178399213,0.06712165549187107,0.005334785177644617,1.012967513484906,0.2590490607183926,0.00659061924364656,0.06738977084240372,0.026733301045368398,0.002355680630854856,100,1000,0.3,12345
150,100,1.0135731201401597,0.03159221466344115,0.24979284561224302,0.01922658580711337,0.006588143858124484,0.0004641149592002061,0.06733550443578697,0.005385019030279373,1.012967513484906,0.2590490607183926,0.00659061924364656,0.06738977084240372,0.021686111039437243,0.002013791220182622,100,1000,0.3,12345
200,100,1.0132537203271794,0.03186155275995518,0.25194593556443595,0.019384363827407613,0.006603678935093097,0.0004654278153645992,0.06749385249511121,0.0054133970154327145,1.012967513484906,0.2590490607183926,0.00659061924364656,0.06738977084240372,0.018394764251621933,0.001787804274785918,100,1000,0.3,12345
