sampler,mcmc_iter,n_sim,mean_tau,sd_tau,q05_tau,q95_tau,bias,abs_bias,se_tau,mean_tau_diff_mcmc_minus_mc
mcmc,250,1,0.8791821520632388,,0.8791821520632388,0.8791821520632388,-0.1208178479367612,0.1208178479367612,,0.012963843887489501
mcmc,500,1,0.8815867783130062,,0.8815867783130062,0.8815867783130062,-0.11841322168699375,0.11841322168699375,,0.005793220856824877
mcmc,750,1,0.872871519602919,,0.872871519602919,0.872871519602919,-0.12712848039708102,0.12712848039708102,,-0.0053699230021918565
mcmc,1000,1,0.8696629235302608,,0.8696629235302608,0.8696629235302608,-0.13033707646973924,0.13033707646973924,,-0.007946405423377656
mcmc,1250,1,0.8687030292422987,,0.8687030292422987,0.8687030292422987,-0.1312969707577013,0.1312969707577013,,-0.00884124718949264
mcmc,1500,1,0.8728668319961207,,0.8728668319961207,0.8728668319961207,-0.1271331680038793,0.1271331680038793,,-0.0052954520407091366
mcmc,1750,1,0.8720897382764758,,0.8720897382764758,0.8720897382764758,-0.12791026172352415,0.12791026172352415,,-0.006611264360487756
mcmc,2000,1,0.8764622900354128,,0.8764622900354128,0.8764622900354128,-0.12353770996458724,0.12353770996458724,,-0.0019785825606261076
mcmc,2250,1,0.8785999719536267,,0.8785999719536267,0.8785999719536267,-0.12140002804637329,0.12140002804637329,,0.002287160488669282
mcmc,2500,1,0.8771015130083518,,0.8771015130083518,0.8771015130083518,-0.12289848699164818,0.12289848699164818,,0.000868810460277869
mcmc,2750,1,0.8781946199247653,,0.8781946199247653,0.8781946199247653,-0.12180538007523467,0.12180538007523467,,0.0020418143220575224
mcmc,3000,1,0.8776652863199582,,0.8776652863199582,0.8776652863199582,-0.12233471368004178,0.12233471368004178,,0.0016181070867543612
mcmc,3250,1,0.8788389340472745,,0.8788389340472745,0.8788389340472745,-0.12116106595272547,0.12116106595272547,,0.0018852816104575343
mcmc,3500,1,0.8789270084851086,,0.8789270084851086,0.8789270084851086,-0.12107299151489137,0.12107299151489137,,0.0010018260523445566
mcmc,3750,1,0.8770056066985378,,0.8770056066985378,0.8770056066985378,-0.12299439330146222,0.12299439330146222,,-0.0012281124708461988
mcmc,4000,1,0.877312909048015,,0.877312909048015,0.877312909048015,-0.12268709095198504,0.12268709095198504,,-0.000722743590472863
mcmc,4250,1,0.87763697036538,,0.87763697036538,0.87763697036538,-0.12236302963461998,0.12236302963461998,,7.646292107765795e-05
mcmc,4500,1,0.8776647550959326,,0.8776647550959326,0.8776647550959326,-0.12233524490406744,0.12233524490406744,,0.0005076589209577209
mcmc,4750,1,0.8774315751845388,,0.8774315751845388,0.8774315751845388,-0.12256842481546115,0.12256842481546115,,0.0007900359927888179
mcmc,5000,1,0.8776494875677119,,0.8776494875677119,0.8776494875677119,-0.12235051243228812,0.12235051243228812,,0.0001879481058217891
monte_carlo,250,1,0.8662183081757493,,0.8662183081757493,0.8662183081757493,-0.1337816918242507,0.1337816918242507,,0.012963843887489501
monte_carlo,500,1,0.8757935574561814,,0.8757935574561814,0.8757935574561814,-0.12420644254381863,0.12420644254381863,,0.005793220856824877
monte_carlo,750,1,0.8782414426051108,,0.8782414426051108,0.8782414426051108,-0.12175855739488917,0.12175855739488917,,-0.0053699230021918565
monte_carlo,1000,1,0.8776093289536384,,0.8776093289536384,0.8776093289536384,-0.12239067104636159,0.12239067104636159,,-0.007946405423377656
monte_carlo,1250,1,0.8775442764317913,,0.8775442764317913,0.8775442764317913,-0.12245572356820866,0.12245572356820866,,-0.00884124718949264
monte_carlo,1500,1,0.8781622840368298,,0.8781622840368298,0.8781622840368298,-0.12183771596317017,0.12183771596317017,,-0.0052954520407091366
monte_carlo,1750,1,0.8787010026369636,,0.8787010026369636,0.8787010026369636,-0.1212989973630364,0.1212989973630364,,-0.006611264360487756
monte_carlo,2000,1,0.8784408725960389,,0.8784408725960389,0.8784408725960389,-0.12155912740396113,0.12155912740396113,,-0.0019785825606261076
monte_carlo,2250,1,0.8763128114649574,,0.8763128114649574,0.8763128114649574,-0.12368718853504257,0.12368718853504257,,0.002287160488669282
monte_carlo,2500,1,0.876232702548074,,0.876232702548074,0.876232702548074,-0.12376729745192605,0.12376729745192605,,0.000868810460277869
monte_carlo,2750,1,0.8761528056027078,,0.8761528056027078,0.8761528056027078,-0.12384719439729219,0.12384719439729219,,0.0020418143220575224
monte_carlo,3000,1,0.8760471792332039,,0.8760471792332039,0.8760471792332039,-0.12395282076679615,0.12395282076679615,,0.0016181070867543612
monte_carlo,3250,1,0.876953652436817,,0.876953652436817,0.876953652436817,-0.123046347563183,0.123046347563183,,0.0018852816104575343
monte_carlo,3500,1,0.8779251824327641,,0.8779251824327641,0.8779251824327641,-0.12207481756723593,0.12207481756723593,,0.0010018260523445566
monte_carlo,3750,1,0.878233719169384,,0.878233719169384,0.878233719169384,-0.12176628083061602,0.12176628083061602,,-0.0012281124708461988
monte_carlo,4000,1,0.8780356526384878,,0.8780356526384878,0.8780356526384878,-0.12196434736151218,0.12196434736151218,,-0.000722743590472863
monte_carlo,4250,1,0.8775605074443024,,0.8775605074443024,0.8775605074443024,-0.12243949255569764,0.12243949255569764,,7.646292107765795e-05
monte_carlo,4500,1,0.8771570961749748,,0.8771570961749748,0.8771570961749748,-0.12284290382502516,0.12284290382502516,,0.0005076589209577209
monte_carlo,4750,1,0.87664153919175,,0.87664153919175,0.87664153919175,-0.12335846080824997,0.12335846080824997,,0.0007900359927888179
monte_carlo,5000,1,0.8774615394618901,,0.8774615394618901,0.8774615394618901,-0.1225384605381099,0.1225384605381099,,0.0001879481058217891
